time,x,y,z,degree,deltax,deltay,deltaz,resultant,moving,Turning
2.96784E+14,0.102890015,8.659622,4.6301117,-233.48392,0.031112675,-0.105285,-0.0789642,0.135234148,0,Not
2.96784E+14,0.13400269,8.554337,4.5511475,-233.51556,-0.071792607,0.184249,-0.0263215,0.199486074,0,Not
2.96784E+14,0.062210083,8.738586,4.524826,-233.56242,-0.038284302,-0.026321,0.3924256,0.395166211,0,Not
2.96784E+14,0.023925781,8.712265,4.9172516,-233.69293,0.122039799,-0.047852,-0.1363983,0.189177226,0,Not
2.96784E+14,0.14596558,8.664413,4.7808533,-233.55852,-0.136398319,0.227311,-0.3517456,0.440454038,1,Not
2.96784E+14,0.009567261,8.891724,4.4291077,-233.48532,-0.047851561,-0.076569,0.2081756,0.22691334,0,Not
2.96784E+14,-0.0382843,8.815155,4.6372833,-233.74542,0.3014984,-0.110062,0.0239411,0.321851061,0,Not
2.96784E+14,0.2632141,8.705093,4.6612244,-233.81473,0.01913453,-0.055038,-0.1603241,0.170584667,0,Not
2.96784E+14,0.28234863,8.650055,4.5009003,-233.8327,-0.26559448,0.172287,-0.1579283,0.353786074,0,Not
2.96784E+14,0.01675415,8.822342,4.342972,-233.9426,0.23687745,-0.067001,0.0311125,0.248129095,0,Not
2.96784E+14,0.2536316,8.755341,4.3740845,-234.21774,0.45225524,-0.220139,0.1914215,0.538180427,1,Not
2.96784E+14,0.70588684,8.535202,4.565506,-234.43872,-0.1986084,0.14357,0.0047912,0.245113437,0,Not
2.96784E+14,0.50727844,8.678772,4.5702972,-234.43288,-0.43788147,0.052643,-0.0717926,0.446839618,1,Not
2.96784E+14,0.06939697,8.731415,4.4985046,-234.47205,0.055023196,0.117248,-0.1627046,0.20796017,0,Not
2.96784E+14,0.124420166,8.848663,4.3358,-234.58035,0.299102784,-0.134002,0.241669,0.407213601,1,Not
2.96784E+14,0.42352295,8.714661,4.577469,-234.8424,-0.0765686,0.047851,0.2656096,0.280536857,0,Not
2.96784E+14,0.34695435,8.762512,4.8430786,-234.86674,-0.64605713,0.433106,-0.275177,0.825041213,1,Left
2.96784E+14,-0.29910278,9.195618,4.5679016,-234.71771,0.33978271,-0.18425,-0.4881439,0.622643413,1,Left
2.96784E+14,0.04067993,9.011368,4.0797577,-234.93877,0.93319702,-0.4163515,-0.0215302,1.022090407,1,Left
2.96784E+14,0.97387695,8.5950165,4.0582275,-235.43343,-0.34455871,0.3756715,0.3684998,0.629000702,1,Left
2.96784E+14,0.62931824,8.970688,4.4267273,-235.74806,-0.02871704,0.567108,0.1268157,0.581823318,1,Left
