time,x,y,z,degree,deltax,deltay,deltaz,resultant,moving,Turning
2.96783E+14,-0.8638153,8.432312,4.862213,-226.02385,-0.033508,0.184250,0.193817,0.269510,0, 
2.96783E+14,-0.6149597,8.408386,5.7332,-225.8956,0.248856,-0.023926,0.870987,0.906157,0, 
2.96783E+14,-0.13877869,8.403595,5.824127,-225.29042,0.476181,-0.004791,0.090927,0.484808,0, 
2.96783E+14,-0.5240326,8.350952,5.613556,-224.7854,-0.385254,-0.052643,-0.210571,0.442190,0, 
2.96783E+14,-0.95951843,8.566299,4.9076843,-224.32655,-0.435486,0.215347,-0.705872,0.856900,0, 
2.96783E+14,-0.9140625,8.642868,4.8765717,-224.26262,0.045456,0.076569,-0.031113,0.094324,0, 
2.96783E+14,-0.4737854,8.405991,5.4604187,-224.25284,0.440277,-0.236877,0.583847,0.768656,0, 
2.96783E+14,-0.1268158,8.350952,5.3647156,-223.9377,0.346970,-0.055038,-0.095703,0.364110,0, 
2.96783E+14,-0.23928833,8.264816,4.9818573,-223.7697,-0.112473,-0.086136,-0.382858,0.408228,0, 
2.96783E+14,-0.50727844,8.350952,4.74736,-223.76764,-0.267990,0.086136,-0.234497,0.366370,0, 
2.96783E+14,-0.41635132,8.461029,5.0345,-223.85791,0.090927,0.110077,0.287140,0.320677,0, 
2.96783E+14,-0.00239563,8.312668,5.005783,-223.84302,0.413956,-0.148361,-0.028717,0.440676,0, 
2.96783E+14,-0.22492981,8.346161,5.0081787,-223.90317,-0.222534,0.033493,0.002396,0.225053,0, 
2.96783E+14,-0.7154541,8.556732,4.9627075,-223.91125,-0.490524,0.210571,-0.045471,0.535744,0, 
2.96783E+14,-0.39242554,8.681168,4.8095703,-223.88963,0.323029,0.124435,-0.153137,0.378527,0, 
2.96783E+14,-0.19381714,8.415558,5.3312073,-224.08635,0.198608,-0.265610,0.521637,0.618142,0, 
2.96783E+14,-0.43310547,8.494522,5.350357,-223.93288,-0.239288,0.078964,0.019150,0.252707,0, 
